timepoint,agent,cell_line,GR50,GRmax,GR_AOC,GEC50,GRinf,h_GR,r2_GR,pval_GR,receptor_status,color_map
72,LY3023414,MDAMB436,inf,0.326287266,0.375784356,0.0,0.612253035,0.01,-1.1099999999999999e-15,0.060716717,TNBC,#ca7832
72,LY3023414,MDAMB453,0.000557459,-0.5678809220000001,0.837776502,0.685945935,-1.0,0.15440432099999998,0.663038118,0.02220919,TNBC,#ca7832
72,LY3023414,MDAMB468,0.012843345,-0.19253813,0.6635166379999999,5.3590129410000005,-1.0,0.182079089,0.916297223,0.000169664,TNBC,#ca7832
72,MFH-2-90,MDAMB134,0.001219974,-0.896989545,0.844554747,0.001820543,-0.8832612329999999,2.542037397,0.974238313,2.74e-06,HR+,#7da245
72,MFH-2-90,MDAMB157,0.000648267,-0.7825884059999999,0.946107647,0.0007768730000000001,-0.735807821,5.0,0.995861916,4.56e-09,TNBC,#ca7832
72,MFH-2-90,MDAMB361,0.000760144,-0.515675112,0.8967235920000001,0.000889803,-0.598904863,5.0,0.954074368,2.08e-05,HER2amp,#4dab9b
72,MFH-2-90,MDAMB436,0.000568701,-0.053062693,0.569918436,0.000576298,-0.034300013,5.0,0.996136626,3.58e-09,TNBC,#ca7832
72,MFH-2-90,MDAMB453,0.000495917,-0.228523097,0.717878172,0.000539695,-0.26325379600000004,5.0,0.981103297,9.28e-07,TNBC,#ca7832
72,MFH-2-90,MDAMB468,0.000607821,-0.223074214,0.679676273,0.000657809,-0.203759402,4.325059028,0.993793028,1.88e-08,TNBC,#ca7832
72,Pin1-3,MDAMB134,inf,0.8372018590000001,0.044718747,0.0,0.954947855,0.01,-1.3300000000000001e-15,0.7149236729999999,HR+,#7da245
72,Pin1-3,MDAMB157,inf,0.910427667,-0.123384791,0.0,1.0,0.01,-1.120259765,0.8903158240000001,TNBC,#ca7832
72,Pin1-3,MDAMB361,inf,0.716644533,0.020692216,0.0,0.974959857,0.01,-6.66e-16,0.35046962299999995,HER2amp,#4dab9b
72,Pin1-3,MDAMB436,inf,0.903427791,0.018432127,0.0,0.977588559,0.01,-8.44e-15,0.408227082,TNBC,#ca7832
72,Pin1-3,MDAMB453,inf,0.812668262,-0.001446402,0.0,0.995456166,0.01,-2.44e-15,0.184786535,TNBC,#ca7832
72,Pin1-3,MDAMB468,inf,0.6936164459999999,0.028990246,5.012775912,0.683916525,5.0,0.848601133,0.008918803000000001,TNBC,#ca7832
72,R0-3306,MDAMB134,4.953367358,0.209733524,0.089751715,4.480341882,0.19505397,4.926590047,0.782972375,0.004762144,HR+,#7da245
72,R0-3306,MDAMB157,4.78685918,-0.410995733,0.08660226300000001,5.532927376,-0.495603411,4.755100763,0.955933439,1.8e-05,TNBC,#ca7832
72,R0-3306,MDAMB361,5.718299697,0.11711595,0.097254258,10.68577303,-0.8498103990000001,1.588363785,0.900510039,0.000310619,HER2amp,#4dab9b
72,R0-3306,MDAMB436,4.608517991,0.052376375,0.062201543,4.544049316000001,0.034007691,5.0,0.962128355,1.06e-05,TNBC,#ca7832
72,R0-3306,MDAMB453,5.605283848,-0.007558755,0.118783477,9.926622926,-1.0,1.922295442,0.899913895,0.000317182,TNBC,#ca7832
72,R0-3306,MDAMB468,4.582625455,-0.26821931,0.183819111,7.734362902000001,-1.0,2.098987601,0.942956491,4.4299999999999986e-05,TNBC,#ca7832
72,Rucaparib,MDAMB134,inf,0.664502768,0.182157899,0.0,0.825674927,0.01,-6.66e-16,0.145728915,HR+,#7da245
72,Rucaparib,MDAMB157,1.461225042,0.025561666,0.314723777,52.48814388,-1.0,0.306762505,0.607044343,0.038036663,TNBC,#ca7832
72,Rucaparib,MDAMB361,inf,0.122267803,0.33895161700000004,0.0,0.637550424,0.01,-2.22e-16,0.06722560000000001,HER2amp,#4dab9b
72,Rucaparib,MDAMB436,0.82465618,0.229040557,0.398987218,1000.0,-0.838803567,0.138710997,0.658718834,0.023221653,TNBC,#ca7832
72,Rucaparib,MDAMB453,6.424356687,0.165132614,0.14069232,12.17794153,-1.0,1.7178439280000002,0.8123653479999999,0.002861513,TNBC,#ca7832
72,Rucaparib,MDAMB468,8.605190608,0.34891800100000003,0.100370901,13.46324668,-1.0,2.4544624280000003,0.8760454520000001,0.000670531,TNBC,#ca7832
72,SHP099,MDAMB134,inf,0.79189895,0.031763963,0.0,0.967465897,0.01,-1.1099999999999999e-15,0.494190179,HR+,#7da245
72,SHP099,MDAMB157,inf,0.643609214,0.141439104,0.0,0.850508218,0.01,-8.88e-16,0.695707683,TNBC,#ca7832
72,SHP099,MDAMB361,inf,0.6347223670000001,0.131092681,0.0,0.8611473190000001,0.01,-6.66e-16,0.779859315,HER2amp,#4dab9b
72,SHP099,MDAMB436,inf,0.943777825,-0.003033705,0.0,0.996573198,0.01,-6.4400000000000005e-15,0.509364852,TNBC,#ca7832
72,SHP099,MDAMB453,inf,0.733499518,0.044479871,0.0,0.938000117,0.01,-1.3300000000000001e-15,0.207878404,TNBC,#ca7832
72,SHP099,MDAMB468,30.6349916,0.566586867,0.134300463,760.6411433999998,-1.0,0.34203171,0.750373482,0.007771726999999998,TNBC,#ca7832
72,SY-1365,MDAMB134,0.000528314,-0.427815876,0.773358856,0.000642849,-0.415921554,3.084930861,0.997480279,8.029999999999999e-10,HR+,#7da245
72,SY-1365,MDAMB157,0.000887303,-0.8869012479999999,0.874454993,0.0013268070000000002,-0.852228057,2.4727605390000003,0.991853872,4.88e-08,TNBC,#ca7832
72,SY-1365,MDAMB361,0.000757167,-0.434349943,0.775352562,0.000878002,-0.548313346,5.0,0.982517163,7.070000000000002e-07,HER2amp,#4dab9b
72,SY-1365,MDAMB436,0.000526535,-0.037737606,0.540607786,0.000528067,-0.007316299999999999,5.0,0.986803614,2.64e-07,TNBC,#ca7832
72,SY-1365,MDAMB453,0.000681886,-0.168113478,0.628603837,0.000749777,-0.198620378,3.524267832,0.993817214,1.86e-08,TNBC,#ca7832
72,SY-1365,MDAMB468,0.000682384,-0.531024409,0.737994466,0.000866978,-0.464778066,2.745340004,0.994438235,1.28e-08,TNBC,#ca7832
72,THZ-P1-2,MDAMB134,#NAME?,-0.922270409,0.724022451,0.0,0.202772417,0.01,0.0,0.305150989,HR+,#7da245
72,THZ-P1-2,MDAMB157,6.322104965,-0.540869157,0.098262489,7.875641757999999,-1.0,5.0,0.971877388,0.000132629,TNBC,#ca7832
72,THZ-P1-2,MDAMB361,#NAME?,-0.927429448,0.882748447,0.0,0.055061774,0.01,0.0,0.236966628,HER2amp,#4dab9b
72,THZ-P1-2,MDAMB436,4.115207196,-0.237852132,0.269702393,7.740008842000001,-0.938142251,1.672433966,0.857901685,0.007611535999999999,TNBC,#ca7832
72,THZ-P1-2,MDAMB453,#NAME?,-0.445303344,0.529506674,0.0,0.418042378,0.01,-2.22e-16,0.394121018,TNBC,#ca7832
72,THZ-P1-2,MDAMB468,3.511449144,-0.446783375,0.336988312,6.270265675,-1.0,1.894845469,0.851221934,0.008537825,TNBC,#ca7832
72,THZ-P1-2R,MDAMB134,inf,1.03326508,-0.05176116,0.0,1.0,0.01,-0.125405406,1.0,HR+,#7da245
72,THZ-P1-2R,MDAMB157,inf,1.026435012,-0.07692123599999999,0.0,1.0,0.01,-0.7255426559999999,1.0,TNBC,#ca7832
72,THZ-P1-2R,MDAMB361,8.687551312,0.194925363,0.030942946,10.82234967,-0.999998762,5.0,0.942406385,0.000796042,HER2amp,#4dab9b
72,THZ-P1-2R,MDAMB436,inf,0.8884336559999999,-0.030853995,0.0,1.0,0.01,-0.121852789,0.31208086,TNBC,#ca7832
72,THZ-P1-2R,MDAMB453,inf,0.8082541440000001,0.007128724,0.0,0.974688398,0.01,-2.2199999999999998e-15,0.112348235,TNBC,#ca7832
72,THZ-P1-2R,MDAMB468,inf,0.57201189,0.129724569,0.0,0.851212472,0.01,-8.88e-16,0.055585117,TNBC,#ca7832
72,THZ1,MDAMB134,0.00586532,-0.471675148,0.6712455009999999,0.019471235,-0.557685726,0.6244204879999999,0.98811554,1.83e-07,HR+,#7da245
72,THZ1,MDAMB157,0.0344434,-0.873944664,0.568389044,0.04875616,-0.861218272,2.881975377,0.991215154,6.349999999999999e-08,TNBC,#ca7832
72,THZ1,MDAMB361,0.008470267,-0.7173397,0.7440058390000001,0.032284164,-0.911802119,0.775786778,0.988061925,1.86e-07,HER2amp,#4dab9b
72,THZ1,MDAMB436,0.136006812,-0.067372062,0.196817205,0.146214268,-0.06826201900000001,1.7683814830000002,0.969823767,4.77e-06,TNBC,#ca7832
72,THZ1,MDAMB453,0.013358588,-0.226119622,0.5254076320000001,0.016230336,-0.17792916399999995,1.563427381,0.980853817,9.71e-07,TNBC,#ca7832
72,THZ1,MDAMB468,0.023508669,-0.370050293,0.478325972,0.036835869,-0.353234041,1.189985428,0.988740573,1.51e-07,TNBC,#ca7832
72,THZ531,MDAMB134,0.018980127,-0.7974539979999999,0.699779371,0.029788396,-0.738680525,2.012737151,0.969487411,4.96e-06,HR+,#7da245
72,THZ531,MDAMB157,0.069899522,-0.7635671209999999,0.406839676,0.082762312,-0.663488407,5.0,0.981199357,9.11e-07,TNBC,#ca7832
72,THZ531,MDAMB361,0.027534645,-0.723089835,0.6729083309999999,0.032765438,-0.693033062,5.0,0.98403943,5.14e-07,HER2amp,#4dab9b
72,THZ531,MDAMB436,0.191414313,0.023191977000000003,0.15697383199999998,0.198140807,-0.029237124,1.645406092,0.961596729,1.11e-05,TNBC,#ca7832
72,THZ531,MDAMB453,0.025529237,-0.29122062,0.516076222,0.032569954,-0.314433648,2.00309224,0.986540638,2.8300000000000003e-07,TNBC,#ca7832
72,THZ531,MDAMB468,0.041123951,-0.149258261,0.403161536,0.047820013,-0.152774593,1.767434846,0.993727889,1.95e-08,TNBC,#ca7832
72,YKL-5-124,MDAMB134,0.000212685,-0.032076843,0.920563085,0.000189471,0.047822562,0.869838474,0.681185425,0.018297156,HR+,#7da245
72,YKL-5-124,MDAMB157,0.018481213,-0.5191750820000001,0.71762228,0.019719306,-0.019282667,0.583563461,0.580481563,0.047822104,TNBC,#ca7832
72,YKL-5-124,MDAMB361,5.14E-05,-0.8282338929999999,1.131199593,0.018804816,-1.0,0.186129179,0.799016947,0.003639637,HER2amp,#4dab9b
72,YKL-5-124,MDAMB436,0.032278893,0.015530665,0.582245346,46.62521719,-1.0,0.151001968,0.815250206,0.002710465,TNBC,#ca7832
72,YKL-5-124,MDAMB453,0.001171088,-0.498534478,0.8267329929999999,0.792688374,-1.0,0.16856353100000002,0.696876299,0.0153345,TNBC,#ca7832
72,YKL-5-124,MDAMB468,3.51E-06,-0.482180114,1.105785647,0.015630148,-0.985204191,0.129577756,0.904595395,0.000268221,TNBC,#ca7832
72,ZZ1-33B,MDAMB134,0.001275209,-0.8683089759999999,1.406882965,0.003756022,-0.7302484509999999,0.833476628,0.974207674,2.76e-06,HR+,#7da245
72,ZZ1-33B,MDAMB157,0.000551445,-0.871883703,1.7231843059999998,0.000920497,-0.6936857470000001,1.698361361,0.762503877,0.006528266,TNBC,#ca7832
72,ZZ1-33B,MDAMB361,0.060914972,-0.420830996,0.621634637,0.8261681670000001,-0.8385893640000001,0.377691947,0.930954836,8.65e-05,HER2amp,#4dab9b
